Prefix,Opcode(0x),Opcode(decimal),Literals,Instruction,sub_rom_sel,sr1_eax,sr1_rm,sr2_rm,sr1_needed,sr2_needed,ld_sr1,ld_sr2,reg_op_override,mod_rm_pr,mm1_needed,mm2_needed,eip_change,CF_needed,DF_needed,AF_needed,sr3_eax,sr3_esp,sr2_ecx,cmps_op,cxchg_op,ret_op,stack_write,stack_read,seg2_sel,seg3_needed,seg3_sel[2:0],,,seg3_sel_over,stack_off_sel_16[1:0],,stack_off_sel_32[1:0],,imm_sel_16[1:0],,imm_sel_32[1:0],,mem_rd_size[1:0],,mem_rd_size_no_over,mem_wr_size[1:0],,mem_wr_size_no_over,reg_rw_size[1:0],,reg_rw_size_no_over,sr1_sel_reg[1:0],,sr1_sel_mem[1:0],,sr2_sel_reg[1:0],,sr2_sel_mem[1:0],,mm_sr1_sel_H,EIP_EFLAGS_sel,mem_rd_addr_sel,ld_seg,dseg[2:0],,,ld_mmx,df_val,CF_expected,ZF_expected,cond_wr_CF,cond_wr_ZF,wr_reg1_data_sel,wr_reg2_data_sel,wr_seg_data_sel[1:0],,wr_eip_alu_res_sel,wr_mem_data_sel[1:0],,wr_mem_addr_sel,alu1_op1[3:0],alu1_op2[3:0],alu1_op3[3:0],alu2_op[3:0],alu3_op[4:0],alu1_op_size[1:0],,alu_op_size_no_over,ld_flag_CF,ld_flag_PF,ld_flag_AF,ld_flag_ZF,ld_flag_SF,ld_flag_DF,ld_flag_OF,inst_size_16[2:0],,,inst_size_32[2:0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5A,90,rw,"POP r16
POP r32",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,x,x,x,x,0,0,0,0,x,x,x,x,1,0,0,x,x,x,1,0,0,1,1,1,1,x,x,x,x,x,x,1,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0100,0100,0100,0100,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5B,91,rw,"POP r16
POP r32",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,x,x,x,x,0,0,0,0,x,x,x,x,1,0,0,x,x,x,1,0,0,1,1,1,1,x,x,x,x,x,x,1,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0100,0100,0100,0100,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5C,92,rw,"POP r16
POP r32",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,x,x,x,x,0,0,0,0,x,x,x,x,1,0,0,x,x,x,1,0,0,1,1,1,1,x,x,x,x,x,x,1,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0100,0100,0100,0100,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5D,93,rw,"POP r16
POP r32",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,x,x,x,x,0,0,0,0,x,x,x,x,1,0,0,x,x,x,1,0,0,1,1,1,1,x,x,x,x,x,x,1,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0100,0100,0100,0100,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5E,94,rw,"POP r16
POP r32",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,x,x,x,x,0,0,0,0,x,x,x,x,1,0,0,x,x,x,1,0,0,1,1,1,1,x,x,x,x,x,x,1,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0100,0100,0100,0100,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5F,95,rw,"POP r16
POP r32",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,x,x,x,x,0,0,0,0,x,x,x,x,1,0,0,x,x,x,1,0,0,1,1,1,1,x,x,x,x,x,x,1,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0100,0100,0100,0100,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,104,,"PUSH imm16
PUSH imm32",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,x,x,x,x,0,1,1,0,0,1,1,0,x,x,x,1,0,0,1,0,0,x,x,x,x,1,0,1,0,x,x,x,0,x,x,x,0,x,x,x,0,0,x,1,x,x,x,0,0,1,0101,0101,0101,0110,xxxxx,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6A,106,,PUSH imm8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,x,x,x,x,0,1,1,0,0,0,0,0,x,x,x,1,0,0,1,0,0,x,x,x,x,1,0,1,0,x,x,x,0,x,x,x,0,x,x,x,0,0,x,1,x,x,x,0,0,1,0101,0101,0101,0110,xxxxx,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F,6F,111,/r,"MOVQ mm, mm/m64",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,1,1,1,x,x,x,1,0,0,x,x,x,x,x,x,x,x,0,x,0,0,x,x,x,1,x,x,x,0,0,x,x,x,x,x,x,x,x,xxxx,xxxx,xxxx,xxxx,10001,x,x,x,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F,70,112,/r ib,"PSHUFW mm1, mm2/mm64, imm8",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,0,0,0,0,1,1,1,x,x,x,1,0,0,x,x,x,x,1,0,1,0,x,x,0,0,x,x,x,1,x,x,x,0,0,x,x,x,x,x,x,x,x,xxxx,xxxx,xxxx,xxxx,10010,x,x,x,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,117,cb,JNE rel8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,0,0,0,0,x,x,x,x,x,x,1,0,0,0,1,0,1,1,0,1,0,x,0,x,0,x,x,x,0,x,x,0,0,1,x,x,x,x,0,x,x,x,1001,1001,1001,xxxx,xxxxx,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,119,cb,JNBE rel8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,0,0,0,0,x,x,x,x,x,x,1,0,0,0,1,0,1,1,0,1,0,x,0,x,0,x,x,x,0,x,0,0,1,1,x,x,x,x,0,x,x,x,1001,1001,1001,xxxx,xxxxx,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F,7F,127,/r,"MOVQ mm/m64, mm",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,1,1,1,0,0,x,x,x,x,x,x,x,x,0,x,0,0,x,x,x,1,x,x,x,0,0,x,x,x,x,x,1,0,0,xxxx,xxxx,xxxx,xxxx,10001,x,x,x,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,128,/0 ib,"ADD r/m8,imm8",0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,x,x,0,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,0,0,0,1001,0000,0001,xxxx,xxxxx,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,129,"/0 iw
id","ADD r/m16,imm16
ADD r/m32,imm32",0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,x,x,0,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,0,0,0,1001,0000,0001,xxxx,xxxxx,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,131,/0 ib,"ADD r/m16,imm8
ADD r/m32,imm8",0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,x,x,0,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,0,0,0,1001,0000,0001,xxxx,xxxxx,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F,85,133,cw,"JNE rel16
JNE rel32",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,0,1,1,0,x,x,x,x,x,x,1,0,0,0,1,0,1,1,0,1,0,x,0,x,0,x,x,x,0,x,x,0,0,1,x,x,x,x,0,x,x,x,1001,1001,1001,xxxx,xxxxx,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,134,/r,"XCHG r/m8,r8",0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,x,x,0,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,0,0,0,0101,0101,0101,0000,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F,87,135,cw,"JNBE rel16
JNBE rel32",1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,xxxx,xxxx,xxxx,xxxx,xxxxx,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,88,136,/r,"MOV r/m8,r8",0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0,1,0,0,1,x,x,x,x,0,0,0,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,0,0,0,0101,0101,0101,xxxx,xxxxx,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,89,137,/r,"MOV r/m16,r16
MOV r/m32,r32",0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,1,0,0,x,x,x,x,0,0,0,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,0,0,0,0101,0101,0101,xxxx,xxxxx,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8A,138,/r,"MOV r8,r/m8",0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,0,0,1,x,x,x,0,0,1,x,x,x,x,0,0,1,1,x,x,0,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,0101,0101,0101,xxxx,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8B,139,/r,"MOV r16,r/m16
MOV r32,r/m32",0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,x,x,x,1,0,0,x,x,x,x,0,0,1,1,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,0101,0101,0101,xxxx,xxxxx,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8C,140,/r,"MOV r/m16,Sreg",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,1,x,x,x,1,x,x,x,x,x,x,x,x,x,x,x,0,1,1,0,1,1,x,x,x,x,0,1,0,1,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,0,0,0,0101,0101,0101,xxxx,xxxxx,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8E,142,/r,"MOV Sreg,r/m16",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,1,x,x,x,x,x,x,x,x,0,1,1,x,x,x,1,0,0,x,x,x,x,0,0,1,1,x,x,0,1,x,x,x,0,x,x,x,0,0,x,x,0,0,x,x,x,x,0101,0101,0101,xxxx,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8F,143,/0,"POP r/m16
POP r/m32",0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,x,x,x,x,0,0,0,0,x,x,x,x,1,0,0,1,0,0,1,0,0,1,1,1,1,x,x,x,x,x,x,1,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,0,0,0,0100,0100,0100,0100,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,144,rw,"XCHG AX,r16
XCHG EAX,r32",0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0101,0101,0101,0000,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,145,rw,"XCHG AX,r16
XCHG EAX,r32",0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0101,0101,0101,0000,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,146,rw,"XCHG AX,r16
XCHG EAX,r32",0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0101,0101,0101,0000,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,147,rw,"XCHG AX,r16
XCHG EAX,r32",0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0101,0101,0101,0000,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,148,rw,"XCHG AX,r16
XCHG EAX,r32",0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0101,0101,0101,0000,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,149,rw,"XCHG AX,r16
XCHG EAX,r32",0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0101,0101,0101,0000,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,96,150,rw,"XCHG AX,r16
XCHG EAX,r32",0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0101,0101,0101,0000,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,151,rw,"XCHG AX,r16
XCHG EAX,r32",0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0101,0101,0101,0000,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9A,154,cp,CALL ptr16:32,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,x,x,x,0,1,1,1,1,1,0,1,0,x,x,x,1,1,1,1,0,1,x,x,x,x,1,0,1,0,1,x,x,1,0,0,1,0,x,x,x,0,0,x,1,1,1,0,1,0,1,0101,0101,0101,0110,10000,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F,A0,160,,PUSH FS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,x,x,x,x,x,x,x,1,0,1,1,0,0,x,x,x,x,0,1,0,1,x,x,x,0,x,x,x,0,x,x,x,0,0,x,1,x,x,x,0,0,1,0101,0101,0101,0110,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F,A1,161,,POP FS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,x,x,x,0,0,0,0,0,x,x,x,x,1,0,1,x,x,x,1,0,1,1,1,1,1,x,x,x,x,x,x,1,1,1,0,0,0,x,x,x,0,0,x,1,0,0,x,x,x,x,0100,0100,0100,0100,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A6,166,,"CMPS m8,m8",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,x,x,x,x,0,0,0,0,x,x,x,x,0,0,1,x,x,x,1,0,1,0,0,0,0,0,0,0,0,x,x,0,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,1010,1010,1010,0101,11000,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A7,167,,"CMPS m16,m16
CMPS m32,m32",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,x,x,x,x,0,0,0,0,x,x,x,x,1,0,0,x,x,x,1,0,1,0,0,0,0,0,0,0,0,x,x,0,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,1010,1010,1010,0101,11000,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F,A8,168,,PUSH GS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,x,x,x,x,x,x,x,1,0,1,1,0,0,x,x,x,x,0,1,0,1,x,x,x,0,x,x,x,0,x,x,x,0,0,x,1,x,x,x,0,0,1,0101,0101,0101,0110,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F,A9,169,,POP GS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,x,x,x,0,0,0,0,0,x,x,x,x,1,0,1,x,x,x,1,0,1,1,1,1,1,x,x,x,x,x,x,1,1,1,0,1,0,x,x,x,0,0,x,1,0,0,x,x,x,x,0100,0100,0100,0100,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F,B0,176,/r,"CMPXCHG r/m8,r8",1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,xxxx,xxxx,xxxx,xxxx,xxxxx,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F,B1,177,/r,"CMPXCHG r/m16,r16
CMPXCHG r/m32,r32",1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,xxxx,xxxx,xxxx,xxxx,xxxxx,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B2,178,rb,"MOV r8,imm8",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,0,0,0,0,x,x,x,x,x,x,0,0,1,x,x,x,x,1,0,1,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,0101,0101,0101,xxxx,xxxxx,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B3,179,rb,"MOV r8,imm8",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,0,0,0,0,x,x,x,x,x,x,0,0,1,x,x,x,x,1,0,1,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,0101,0101,0101,xxxx,xxxxx,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B4,180,rb,"MOV r8,imm8",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,0,0,0,0,x,x,x,x,x,x,0,0,1,x,x,x,x,1,0,1,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,0101,0101,0101,xxxx,xxxxx,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B5,181,rb,"MOV r8,imm8",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,0,0,0,0,x,x,x,x,x,x,0,0,1,x,x,x,x,1,0,1,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,0101,0101,0101,xxxx,xxxxx,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
